H码,区号,城市
1800220,20,广州
1800221,20,广州
1800222,20,广州
1800223,20,广州
1800224,20,广州
1800225,20,广州
1800226,20,广州
1800227,20,广州
1800228,20,广州
1800229,20,广州
1801170,20,广州
1801171,20,广州
1801172,20,广州
1801173,20,广州
1801174,20,广州
1801175,20,广州
1801176,20,广州
1801177,20,广州
1801178,20,广州
1801179,20,广州
1801180,20,广州
1801181,20,广州
1801182,20,广州
1801183,20,广州
1801184,20,广州
1801185,20,广州
1801186,20,广州
1801187,20,广州
1801188,20,广州
1801189,20,广州
1801190,20,广州
1801191,20,广州
1801192,20,广州
1801193,20,广州
1801194,20,广州
1801195,20,广州
1801196,20,广州
1801197,20,广州
1801198,20,广州
1801199,20,广州
1802230,20,广州
1802231,20,广州
1802232,20,广州
1802233,20,广州
1802234,20,广州
1802235,20,广州
1802236,20,广州
1802237,20,广州
1802238,20,广州
1802239,20,广州
1802240,20,广州
1802241,20,广州
1802242,20,广州
1802243,20,广州
1802244,20,广州
1802245,20,广州
1802246,20,广州
1802247,20,广州
1802248,20,广州
1802249,20,广州
1802285,20,广州
1802286,20,广州
1802287,20,广州
1802288,20,广州
1802289,20,广州
1802345,20,广州
1802346,20,广州
1802347,20,广州
1802348,20,广州
1802349,20,广州
1802400,20,广州
1802401,20,广州
1802402,20,广州
1802403,20,广州
1802404,20,广州
1802405,20,广州
1802406,20,广州
1802407,20,广州
1802408,20,广州
1802409,20,广州
1802450,20,广州
1802451,20,广州
1802452,20,广州
1802453,20,广州
1802454,20,广州
1802455,20,广州
1802456,20,广州
1802457,20,广州
1802458,20,广州
1802459,20,广州
1802466,20,广州
1802620,20,广州
1802621,20,广州
1802622,20,广州
1802623,20,广州
1802624,20,广州
1802625,20,广州
1802626,20,广州
1802627,20,广州
1802628,20,广州
1802629,20,广州
1802630,20,广州
1802631,20,广州
1802632,20,广州
1802633,20,广州
1802634,20,广州
1802635,20,广州
1802636,20,广州
1802637,20,广州
1802638,20,广州
1802639,20,广州
1802640,20,广州
1802641,20,广州
1802642,20,广州
1802643,20,广州
1802644,20,广州
1802710,20,广州
1802711,20,广州
1802712,20,广州
1802713,20,广州
1802714,20,广州
1802715,20,广州
1802716,20,广州
1802717,20,广州
1802718,20,广州
1802719,20,广州
1802720,20,广州
1802721,20,广州
1802722,20,广州
1802723,20,广州
1802724,20,广州
1802725,20,广州
1802726,20,广州
1802727,20,广州
1802728,20,广州
1802729,20,广州
1802730,20,广州
1802731,20,广州
1802732,20,广州
1802733,20,广州
1802734,20,广州
1802735,20,广州
1802736,20,广州
1802737,20,广州
1802738,20,广州
1802739,20,广州
1802740,20,广州
1802741,20,广州
1802742,20,广州
1802743,20,广州
1802744,20,广州
1802745,20,广州
1802746,20,广州
1802747,20,广州
1802748,20,广州
1802749,20,广州
1802800,20,广州
1802801,20,广州
1802802,20,广州
1802803,20,广州
1802804,20,广州
1802805,20,广州
1802806,20,广州
1802807,20,广州
1802808,20,广州
1802809,20,广州
1802850,20,广州
1802851,20,广州
1802852,20,广州
1802853,20,广州
1802854,20,广州
1802855,20,广州
1802856,20,广州
1802857,20,广州
1802858,20,广州
1802859,20,广州
1802860,20,广州
1802861,20,广州
1802862,20,广州
1802863,20,广州
1802864,20,广州
1802865,20,广州
1802866,20,广州
1802867,20,广州
1802868,20,广州
1802869,20,广州
1802880,20,广州
