H码,区号,城市
1850000,10,北京
1850001,10,北京
1850002,10,北京
1850003,10,北京
1850004,10,北京
1850005,10,北京
1850006,10,北京
1850007,10,北京
1850008,10,北京
1850009,10,北京
1850010,10,北京
1850011,10,北京
1850012,10,北京
1850013,10,北京
1850014,10,北京
1850015,10,北京
1850016,10,北京
1850017,10,北京
1850018,10,北京
1850019,10,北京
1850020,10,北京
1850021,10,北京
1850022,10,北京
1850023,10,北京
1850024,10,北京
1850025,10,北京
1850026,10,北京
1850027,10,北京
1850028,10,北京
1850029,10,北京
1850030,10,北京
1850031,10,北京
1850032,10,北京
1850033,10,北京
1850034,10,北京
1850035,10,北京
1850036,10,北京
1850037,10,北京
1850038,10,北京
1850039,10,北京
1850040,10,北京
1850041,10,北京
1850042,10,北京
1850043,10,北京
1850044,10,北京
1850045,10,北京
1850046,10,北京
1850047,10,北京
1850048,10,北京
1850049,10,北京
1850050,10,北京
1850051,10,北京
1850052,10,北京
1850053,10,北京
1850054,10,北京
1850055,10,北京
1850056,10,北京
1850057,10,北京
1850058,10,北京
1850059,10,北京
1850060,10,北京
1850061,10,北京
1850062,10,北京
1850063,10,北京
1850064,10,北京
1850065,10,北京
1850066,10,北京
1850067,10,北京
1850068,10,北京
1850069,10,北京
1850070,10,北京
1850071,10,北京
1850072,10,北京
1850073,10,北京
1850074,10,北京
1850075,10,北京
1850076,10,北京
1850077,10,北京
1850078,10,北京
1850079,10,北京
1850080,10,北京
1850081,10,北京
1850082,10,北京
1850083,10,北京
1850084,10,北京
1850085,10,北京
1850086,10,北京
1850087,10,北京
1850088,10,北京
1850089,10,北京
1850090,10,北京
1850091,10,北京
1850092,10,北京
1850093,10,北京
1850094,10,北京
1850095,10,北京
1850096,10,北京
1850097,10,北京
1850098,10,北京
1850099,10,北京
1850100,10,北京
1850101,10,北京
1850102,10,北京
1850103,10,北京
1850104,10,北京
1850105,10,北京
1850106,10,北京
1850107,10,北京
1850108,10,北京
1850109,10,北京
1850110,10,北京
1850111,10,北京
1850112,10,北京
1850113,10,北京
1850114,10,北京
1850115,10,北京
1850116,10,北京
1850117,10,北京
1850118,10,北京
1850119,10,北京
1850120,10,北京
1850121,10,北京
1850122,10,北京
1850123,10,北京
1850124,10,北京
1850125,10,北京
1850126,10,北京
1850127,10,北京
1850128,10,北京
1850129,10,北京
1850130,10,北京
1850131,10,北京
1850132,10,北京
1850133,10,北京
1850134,10,北京
1850135,10,北京
1850136,10,北京
1850137,10,北京
1850138,10,北京
1850139,10,北京
1850180,10,北京
1850181,10,北京
1850182,10,北京
1850183,10,北京
1850184,10,北京
1850185,10,北京
1850186,10,北京
1850187,10,北京
1850188,10,北京
1850189,10,北京
1850190,10,北京
1850191,10,北京
1850192,10,北京
1850193,10,北京
1850194,10,北京
1851000,10,北京
1851001,10,北京
1851002,10,北京
1851003,10,北京
1851004,10,北京
1851005,10,北京
1851006,10,北京
1851007,10,北京
1851008,10,北京
1851009,10,北京
1851010,10,北京
1851011,10,北京
1851012,10,北京
1851013,10,北京
1851014,10,北京
1851015,10,北京
1851016,10,北京
1851017,10,北京
1851018,10,北京
1851019,10,北京
1851020,10,北京
1851021,10,北京
1851022,10,北京
1851023,10,北京
1851024,10,北京
1851025,10,北京
1851026,10,北京
1851027,10,北京
1851028,10,北京
1851029,10,北京
1851030,10,北京
1851031,10,北京
1851032,10,北京
1851033,10,北京
1851034,10,北京
1851035,10,北京
1851036,10,北京
1851037,10,北京
1851038,10,北京
1851039,10,北京
1851040,10,北京
1851041,10,北京
1851042,10,北京
1851043,10,北京
1851044,10,北京
1851045,10,北京
1851046,10,北京
1851047,10,北京
1851048,10,北京
1851049,10,北京
1851050,10,北京
1851051,10,北京
1851052,10,北京
1851053,10,北京
1851054,10,北京
1851055,10,北京
1851056,10,北京
1851057,10,北京
1851058,10,北京
1851059,10,北京
1851060,10,北京
1851061,10,北京
1851062,10,北京
1851063,10,北京
1851064,10,北京
1851065,10,北京
1851066,10,北京
1851067,10,北京
1851068,10,北京
1851069,10,北京
1851070,10,北京
1851071,10,北京
1851072,10,北京
1851073,10,北京
1851074,10,北京
1851075,10,北京
1851076,10,北京
1851077,10,北京
1851078,10,北京
1851079,10,北京
1851080,10,北京
1851081,10,北京
1851082,10,北京
1851083,10,北京
1851084,10,北京
1851085,10,北京
1851086,10,北京
1851087,10,北京
1851088,10,北京
1851089,10,北京
1851090,10,北京
1851091,10,北京
1851092,10,北京
1851093,10,北京
1851094,10,北京
1851095,10,北京
1851096,10,北京
1851097,10,北京
1851098,10,北京
1851099,10,北京
1851100,10,北京
1851101,10,北京
1851102,10,北京
1851103,10,北京
1851104,10,北京
1851105,10,北京
1851106,10,北京
1851107,10,北京
1851108,10,北京
1851109,10,北京
1851110,10,北京
1851111,10,北京
1851112,10,北京
1851113,10,北京
1851114,10,北京
1851115,10,北京
1851116,10,北京
1851117,10,北京
1851118,10,北京
1851119,10,北京
1851120,10,北京
1851121,10,北京
1851122,10,北京
1851123,10,北京
1851124,10,北京
1851125,10,北京
1851126,10,北京
1851127,10,北京
1851128,10,北京
1851129,10,北京
1851130,10,北京
1851131,10,北京
1851132,10,北京
1851133,10,北京
1851134,10,北京
1851135,10,北京
1851136,10,北京
1851137,10,北京
1851138,10,北京
1851139,10,北京
1851140,10,北京
1851141,10,北京
1851142,10,北京
1851143,10,北京
1851144,10,北京
1851145,10,北京
1851146,10,北京
1851147,10,北京
1851148,10,北京
1851149,10,北京
1851150,10,北京
1851151,10,北京
1851152,10,北京
1851153,10,北京
1851154,10,北京
1851155,10,北京
1851156,10,北京
1851157,10,北京
1851158,10,北京
1851159,10,北京
1851160,10,北京
1851161,10,北京
1851162,10,北京
1851163,10,北京
1851164,10,北京
1851165,10,北京
1851166,10,北京
1851167,10,北京
1851168,10,北京
1851169,10,北京
1851170,10,北京
1851171,10,北京
1851172,10,北京
1851173,10,北京
1851174,10,北京
1851175,10,北京
1851176,10,北京
1851177,10,北京
1851178,10,北京
1851179,10,北京
1851180,10,北京
1851181,10,北京
1851182,10,北京
1851183,10,北京
1851184,10,北京
1851185,10,北京
1851186,10,北京
1851187,10,北京
1851188,10,北京
1851189,10,北京
1851190,10,北京
1851191,10,北京
1851192,10,北京
1851193,10,北京
1851194,10,北京
1851195,10,北京
1851196,10,北京
1851197,10,北京
1851198,10,北京
1851199,10,北京
1851300,10,北京
1851301,10,北京
1851302,10,北京
1851303,10,北京
1851304,10,北京
1851305,10,北京
1851306,10,北京
1851307,10,北京
1851308,10,北京
1851309,10,北京
1851310,10,北京
1851311,10,北京
1851312,10,北京
1851313,10,北京
1851314,10,北京
1851315,10,北京
1851316,10,北京
1851317,10,北京
1851318,10,北京
1851319,10,北京
1851320,10,北京
1851321,10,北京
1851322,10,北京
1851323,10,北京
1851324,10,北京
1851325,10,北京
1851326,10,北京
1851327,10,北京
1851328,10,北京
1851329,10,北京
1851330,10,北京
1851331,10,北京
1851332,10,北京
1851333,10,北京
1851334,10,北京
1851335,10,北京
1851336,10,北京
1851337,10,北京
1851338,10,北京
1851339,10,北京
1851340,10,北京
1851341,10,北京
1851342,10,北京
1851343,10,北京
1851344,10,北京
1851345,10,北京
1851346,10,北京
1851347,10,北京
1851348,10,北京
1851349,10,北京
1851350,10,北京
1851351,10,北京
1851352,10,北京
1851353,10,北京
1851354,10,北京
1851355,10,北京
1851356,10,北京
1851357,10,北京
1851358,10,北京
1851359,10,北京
1851360,10,北京
1851361,10,北京
1851362,10,北京
1851363,10,北京
1851364,10,北京
1851365,10,北京
1851366,10,北京
1851367,10,北京
1851368,10,北京
1851369,10,北京
1851370,10,北京
1851371,10,北京
1851372,10,北京
1851373,10,北京
1851374,10,北京
1851375,10,北京
1851376,10,北京
1851377,10,北京
1851378,10,北京
1851379,10,北京
1851380,10,北京
1851381,10,北京
1851382,10,北京
1851383,10,北京
1851384,10,北京
1851385,10,北京
1851386,10,北京
1851387,10,北京
1851388,10,北京
1851389,10,北京
1851390,10,北京
1851391,10,北京
1851392,10,北京
1851393,10,北京
1851394,10,北京
1851395,10,北京
1851396,10,北京
1851397,10,北京
1851398,10,北京
1851399,10,北京
1851400,10,北京
1851401,10,北京
1851402,10,北京
1851403,10,北京
1851404,10,北京
1851405,10,北京
1851406,10,北京
1851407,10,北京
1851408,10,北京
1851409,10,北京
1851410,10,北京
1851411,10,北京
1851412,10,北京
1851413,10,北京
1851414,10,北京
1851415,10,北京
1851416,10,北京
1851417,10,北京
1851418,10,北京
1851419,10,北京
1851420,10,北京
1851421,10,北京
1851500,10,北京
1851501,10,北京
1851502,10,北京
1851503,10,北京
