H码,区号,城市
1500000,21,上海
1500001,21,上海
1500002,21,上海
1500003,21,上海
1500004,21,上海
1500005,21,上海
1500006,21,上海
1500007,21,上海
1500008,21,上海
1500009,21,上海
1500010,21,上海
1500011,21,上海
1500012,21,上海
1500013,21,上海
1500014,21,上海
1500015,21,上海
1500016,21,上海
1500017,21,上海
1500018,21,上海
1500019,21,上海
1500020,21,上海
1500021,21,上海
1500022,21,上海
1500023,21,上海
1500024,21,上海
1500025,21,上海
1500026,21,上海
1500027,21,上海
1500028,21,上海
1500029,21,上海
1500030,21,上海
1500031,21,上海
1500032,21,上海
1500033,21,上海
1500034,21,上海
1500035,21,上海
1500036,21,上海
1500037,21,上海
1500038,21,上海
1500039,21,上海
1500040,21,上海
1500041,21,上海
1500042,21,上海
1500043,21,上海
1500044,21,上海
1500045,21,上海
1500046,21,上海
1500047,21,上海
1500048,21,上海
1500049,21,上海
1500050,21,上海
1500051,21,上海
1500052,21,上海
1500053,21,上海
1500054,21,上海
1500055,21,上海
1500056,21,上海
1500057,21,上海
1500058,21,上海
1500059,21,上海
1500060,21,上海
1500061,21,上海
1500062,21,上海
1500063,21,上海
1500064,21,上海
1500065,21,上海
1500066,21,上海
1500067,21,上海
1500068,21,上海
1500069,21,上海
1500070,21,上海
1500071,21,上海
1500072,21,上海
1500073,21,上海
1500074,21,上海
1500075,21,上海
1500076,21,上海
1500077,21,上海
1500078,21,上海
1500079,21,上海
1500080,21,上海
1500081,21,上海
1500082,21,上海
1500083,21,上海
1500084,21,上海
1500085,21,上海
1500086,21,上海
1500087,21,上海
1500088,21,上海
1500089,21,上海
1500090,21,上海
1500091,21,上海
1500092,21,上海
1500093,21,上海
1500094,21,上海
1500095,21,上海
1500096,21,上海
1500097,21,上海
1500098,21,上海
1500099,21,上海
1500170,21,上海
1500171,21,上海
1500172,21,上海
1500173,21,上海
1500174,21,上海
1500175,21,上海
1500176,21,上海
1500177,21,上海
1500178,21,上海
1500179,21,上海
1500180,21,上海
1500181,21,上海
1500182,21,上海
1500183,21,上海
1500184,21,上海
1500185,21,上海
1500186,21,上海
1500187,21,上海
1500188,21,上海
1500189,21,上海
1500190,21,上海
1500191,21,上海
1500192,21,上海
1500193,21,上海
1500194,21,上海
1500195,21,上海
1500196,21,上海
1500197,21,上海
1500198,21,上海
1500199,21,上海
1500210,21,上海
1500211,21,上海
1500212,21,上海
1500213,21,上海
1500214,21,上海
1500215,21,上海
1500216,21,上海
1500217,21,上海
1500218,21,上海
1500219,21,上海
1502100,21,上海
1502101,21,上海
1502102,21,上海
1502103,21,上海
1502104,21,上海
1502105,21,上海
1502106,21,上海
1502107,21,上海
1502108,21,上海
1502109,21,上海
1502110,21,上海
1502111,21,上海
1502112,21,上海
1502113,21,上海
1502114,21,上海
1502115,21,上海
1502116,21,上海
1502117,21,上海
1502118,21,上海
1502119,21,上海
1502120,21,上海
1502121,21,上海
1502122,21,上海
1502123,21,上海
1502124,21,上海
1502125,21,上海
1502126,21,上海
1502127,21,上海
1502128,21,上海
1502129,21,上海
1502130,21,上海
1502131,21,上海
1502132,21,上海
1502133,21,上海
1502134,21,上海
1502135,21,上海
1502136,21,上海
1502137,21,上海
1502138,21,上海
1502139,21,上海
1502140,21,上海
1502141,21,上海
1502142,21,上海
1502143,21,上海
1502144,21,上海
1502145,21,上海
1502146,21,上海
1502147,21,上海
1502148,21,上海
1502149,21,上海
1502150,21,上海
1502151,21,上海
1502152,21,上海
1502153,21,上海
1502154,21,上海
1502155,21,上海
1502156,21,上海
1502157,21,上海
1502158,21,上海
1502159,21,上海
1502160,21,上海
1502161,21,上海
1502162,21,上海
1502163,21,上海
1502164,21,上海
1502165,21,上海
1502166,21,上海
1502167,21,上海
1502168,21,上海
1502169,21,上海
1502170,21,上海
1502171,21,上海
1502172,21,上海
1502173,21,上海
1502174,21,上海
1502175,21,上海
1502176,21,上海
1502177,21,上海
1502178,21,上海
1502179,21,上海
1502180,21,上海
1502181,21,上海
1502182,21,上海
1502183,21,上海
1502184,21,上海
1502185,21,上海
1502186,21,上海
1502187,21,上海
1502188,21,上海
1502189,21,上海
1502190,21,上海
1502191,21,上海
1502192,21,上海
1502193,21,上海
1502194,21,上海
1502195,21,上海
1502196,21,上海
1502197,21,上海
1502198,21,上海
1502199,21,上海
1502640,21,上海
1502641,21,上海
1502642,21,上海
1502643,21,上海
1502644,21,上海
1502645,21,上海
1502646,21,上海
1502647,21,上海
1502648,21,上海
1502649,21,上海
1502650,21,上海
1502651,21,上海
1502652,21,上海
1502653,21,上海
1502654,21,上海
1502655,21,上海
1502656,21,上海
1502657,21,上海
1502658,21,上海
1502659,21,上海
1502660,21,上海
1502661,21,上海
1502662,21,上海
1502663,21,上海
1502664,21,上海
1502665,21,上海
1502666,21,上海
1502667,21,上海
1502668,21,上海
1502669,21,上海
1502670,21,上海
1502671,21,上海
1502672,21,上海
1502673,21,上海
1502674,21,上海
1502675,21,上海
1502676,21,上海
1502677,21,上海
1502678,21,上海
1502679,21,上海
1502680,21,上海
1502681,21,上海
1502682,21,上海
1502683,21,上海
1502684,21,上海
1502685,21,上海
1502686,21,上海
1502687,21,上海
1502688,21,上海
1502689,21,上海
1502690,21,上海
1502691,21,上海
1502692,21,上海
1502693,21,上海
1502694,21,上海
1502695,21,上海
1502696,21,上海
1502697,21,上海
1502698,21,上海
1502699,21,上海
1501200,883,临沧
1501201,883,临沧
1501202,883,临沧
1501203,883,临沧
1501204,883,临沧
1501205,883,临沧
1501206,883,临沧
1501207,883,临沧
1501208,883,临沧
1501209,883,临沧
1501210,883,临沧
1501211,883,临沧
1508780,883,临沧
1508781,883,临沧
1508782,883,临沧
1508783,883,临沧
1508784,883,临沧
1508785,883,临沧
1508786,883,临沧
1508787,883,临沧
1508788,883,临沧
1508789,883,临沧
1500878,888,丽江
1500879,888,丽江
1501222,888,丽江
1501223,888,丽江
1501224,888,丽江
1502500,875,保山
1502501,875,保山
1502502,875,保山
1502503,875,保山
1502504,875,保山
1502505,875,保山
1502506,875,保山
1502507,875,保山
1502508,875,保山
1502509,875,保山
1508750,875,保山
1508751,875,保山
1508752,875,保山
1508753,875,保山
1508754,875,保山
1508755,875,保山
1508756,875,保山
1508757,875,保山
1508758,875,保山
1508759,875,保山
1509420,875,保山
1509421,875,保山
1509422,875,保山
1509423,875,保山
1509424,875,保山
1508725,872,大理
1508726,872,大理
1508727,872,大理
1508728,872,大理
1508729,872,大理
1509690,872,大理
1509691,872,大理
1509692,872,大理
1509693,872,大理
1509694,872,大理
1509695,872,大理
1509696,872,大理
1509697,872,大理
1509698,692,德宏
1509699,692,德宏
1500885,886,怒江
1509641,886,怒江
1509680,886,怒江
1509681,886,怒江
1500870,879,思茅
1500871,879,思茅
1500872,879,思茅
1500873,879,思茅
1500874,879,思茅
1500875,879,思茅
1500876,879,思茅
1500880,879,思茅
1500881,879,思茅
1508790,879,思茅
1508791,879,思茅
1508792,879,思茅
1508793,879,思茅
1508794,879,思茅
1508795,879,思茅
1508796,879,思茅
1508797,879,思茅
1508798,879,思茅
1508799,879,思茅
1500882,876,文山
1500883,876,文山
1500884,876,文山
1501217,876,文山
1501218,876,文山
1501219,876,文山
1502522,876,文山
1502523,876,文山
1502524,876,文山
1502525,876,文山
1502526,876,文山
1502527,876,文山
1502528,876,文山
1502529,876,文山
1509650,876,文山
1509651,876,文山
1509652,876,文山
1502510,871,昆明
1502511,871,昆明
1502512,871,昆明
1502513,871,昆明
1502514,871,昆明
1502515,871,昆明
1502516,871,昆明
1502517,871,昆明
1502518,871,昆明
1502519,871,昆明
1508700,871,昆明
1508701,871,昆明
1508702,871,昆明
1508703,871,昆明
1508704,871,昆明
1508705,871,昆明
1508706,871,昆明
1508707,871,昆明
1508708,871,昆明
1508709,871,昆明
1508710,871,昆明
1508711,871,昆明
1508712,871,昆明
1508713,871,昆明
1508714,871,昆明
1508715,871,昆明
1508716,871,昆明
1508717,871,昆明
1508718,871,昆明
1508719,871,昆明
1509660,871,昆明
1509661,871,昆明
1509662,871,昆明
1509663,871,昆明
1509664,871,昆明
1509665,871,昆明
1509666,871,昆明
1509667,871,昆明
1509668,871,昆明
1509669,871,昆明
1501225,870,昭通
1501226,870,昭通
1501227,870,昭通
1501228,870,昭通
1501229,870,昭通
1501230,870,昭通
1501231,870,昭通
1501232,870,昭通
